task_name,success_rate,status,source_run_dir,result_file
blocks_ranking_rgb,1.0,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/blocks_ranking_rgb/_result_random.txt
blocks_ranking_size,0.96,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/blocks_ranking_size/_result_random.txt
handover_mic,1.0,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213615,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/handover_mic/_result_random.txt
move_can_pot,0.98,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/move_can_pot/_result_random.txt
move_stapler_pad,0.7,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213615,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/move_stapler_pad/_result_random.txt
open_microwave,0.28,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/open_microwave/_result_random.txt
place_can_basket,0.62,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/place_can_basket/_result_random.txt
place_dual_shoes,0.9,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/place_dual_shoes/_result_random.txt
place_fan,0.96,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset/robotwin_uncond_3cam_384/20260428_213615,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/place_fan/_result_random.txt
stack_blocks_three,0.94,ok,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_parallel/robotwin_uncond_3cam_384/20260429_104543,/data/hyt/RoboTwin/evaluate_results/fastwam_challenge_subset_merged/robotwin_uncond_3cam_384/20260430_merged_from_subset_and_parallel/stack_blocks_three/_result_random.txt
